model_year,KM,HP,Litros,Cilindros,price_eur
2007,241402,403.0,6.2,8.0,9099
2000,64374,290.0,4.0,8.0,14014
2000,197861,181.0,4.0,6.0,12649
2011,294510,381.0,5.7,8.0,14560
2018,59546,471.0,5.0,8.0,58237
2008,191512,210.0,4.0,6.0,12285
2015,46188,404.0,3.0,6.0,22659
2015,185075,260.0,3.5,6.0,10915
2008,117482,268.0,3.5,6.0,7644
2020,91733,365.0,3.3,6.0,33215
2017,126334,445.0,4.4,8.0,38220
2013,59143,445.0,4.4,8.0,32759
2019,74030,305.0,3.6,6.0,34489
2017,41843,420.0,5.0,8.0,30576
2003,88594,400.0,6.75,8.0,31845
2022,9978,275.0,2.3,4.0,44590
2002,67592,290.0,4.3,8.0,14559
2016,93945,302.0,3.5,6.0,22749
2021,16737,490.0,6.2,8.0,66339
2005,147126,215.0,2.5,6.0,8099
2017,45704,469.0,4.0,8.0,50596
2015,199559,420.0,3.6,6.0,22750
2016,215652,240.0,2.0,4.0,12285
2014,148060,260.0,4.0,6.0,25025
2021,71411,310.0,3.6,6.0,32760
2002,144036,300.0,4.3,8.0,14559
2007,188293,306.0,3.5,6.0,9077
2017,80485,148.0,2.0,4.0,19560
2007,125851,510.0,5.5,12.0,20929
2010,261794,320.0,5.3,8.0,10920
2022,7387,188.0,2.0,4.0,58240
2020,57936,475.0,6.4,8.0,56420
2021,8111,295.0,3.5,6.0,44499
2016,174614,523.0,6.0,12.0,57785
2002,96971,333.0,3.2,6.0,26162
2021,18441,420.0,6.2,8.0,80899
2018,170066,375.0,3.5,6.0,31845
2013,168981,318.0,3.6,6.0,10920
2020,109435,450.0,3.5,6.0,50959
2000,43291,240.0,2.0,4.0,31850
2018,98170,335.0,3.0,6.0,30940
2022,14153,285.0,3.6,6.0,49140
2009,230693,152.0,2.0,4.0,2730
2015,38141,425.0,3.0,6.0,38948
2015,260714,440.0,6.7,8.0,29120
2007,12553,260.0,2.0,4.0,17290
2006,33796,505.0,7.0,8.0,43225
2014,179683,290.0,3.5,6.0,15925
2010,276846,210.0,3.7,6.0,6825
2014,205996,201.0,1.6,4.0,10010
2016,80467,340.0,3.0,6.0,32760
2013,140818,292.0,3.6,6.0,12512
2014,230539,300.0,3.0,6.0,11829
2012,139416,320.0,3.0,6.0,19105
2020,30899,355.0,5.3,8.0,63699
2018,32992,600.0,4.4,8.0,60970
2010,246764,378.0,4.6,8.0,9100
2021,37981,296.0,2.0,4.0,39129
2011,158775,360.0,5.7,8.0,13645
2008,281635,381.0,5.7,8.0,34489
2015,118287,241.0,2.0,4.0,17290
2006,153612,333.0,3.2,6.0,38220
2014,205901,138.0,1.6,4.0,6825
2011,131966,320.0,3.0,6.0,18200
2008,117482,210.0,3.3,6.0,10465
2017,81722,440.0,6.7,8.0,55510
2021,85567,420.0,6.2,8.0,74165
2012,247839,206.0,2.4,4.0,7735
2021,39484,147.0,2.0,4.0,19929
2008,123115,306.0,3.5,6.0,25480
2018,26200,365.0,2.5,4.0,77805
2020,62443,550.0,5.0,8.0,52325
2006,140818,300.0,5.4,8.0,11829
2004,74030,302.0,5.0,8.0,17156
2006,160291,168.0,1.6,4.0,5005
2009,275198,268.0,3.5,6.0,4322
2013,178637,375.0,5.0,8.0,13650
2009,118287,170.0,3.3,6.0,7151
2014,205191,429.0,4.7,8.0,26390
2015,82077,357.0,1.5,3.0,48230
2020,92215,395.0,5.7,8.0,39585
2008,205996,353.0,6.0,8.0,21385
2002,166567,190.0,4.0,6.0,11375
2022,25106,315.0,2.7,6.0,62785
2015,82720,467.0,5.0,8.0,39130
2019,57132,460.0,5.0,8.0,29393
2014,154880,420.0,4.0,8.0,20475
2016,57936,435.0,5.0,8.0,28210
2008,179120,268.0,3.5,6.0,7189
2019,46671,247.0,2.0,4.0,31395
2009,56327,360.0,4.8,8.0,16835
2007,32509,400.0,6.0,8.0,25025
2018,115340,240.0,2.0,4.0,18200
2005,284357,325.0,6.0,8.0,11830
2017,86905,160.0,1.5,4.0,14560
2008,196340,166.0,2.4,4.0,9555
2018,29773,526.0,5.2,8.0,70979
2010,140818,315.0,4.6,8.0,13559
2019,53108,450.0,6.7,8.0,53690
2016,131966,240.0,2.0,4.0,15465
2011,252667,270.0,4.0,6.0,21385
2020,65983,410.0,6.4,8.0,41419
2013,172200,140.0,1.8,4.0,12740
2011,239792,236.0,4.0,6.0,17285
2005,245055,305.0,5.6,8.0,6279
2014,251368,550.0,4.8,8.0,32760
2014,36532,350.0,3.4,6.0,77805
2013,49890,316.0,6.2,8.0,31850
2018,16639,280.0,3.6,6.0,33661
2011,167372,300.0,3.6,6.0,19019
2020,80305,518.0,5.0,8.0,58695
2011,291291,211.0,2.0,4.0,5005
2004,225308,225.0,3.0,6.0,6124
2018,113909,308.0,3.5,6.0,32487
2017,233355,284.0,3.5,6.0,7735
2020,71777,182.0,2.5,4.0,25753
2022,11265,437.0,3.4,6.0,68705
2022,30899,420.0,6.2,8.0,63509
2021,77731,383.0,5.7,8.0,74620
2014,188293,290.0,3.5,6.0,9919
2023,16737,291.0,3.8,6.0,43680
2006,179004,195.0,4.3,6.0,3640
2013,180247,340.0,3.0,6.0,8008
2020,74834,203.0,2.5,4.0,32032
2008,102596,393.0,6.2,8.0,50050
2018,80467,280.0,2.0,4.0,25025
2021,53237,325.0,2.7,6.0,43544
2017,149231,355.0,5.3,8.0,31759
2018,83444,400.0,3.0,6.0,26299
2015,2414,188.0,3.0,6.0,35945
2020,35406,463.0,4.0,8.0,63245
2007,305594,204.0,2.5,6.0,3635
2015,117482,345.0,3.0,6.0,16379
2011,66488,382.0,5.5,8.0,28209
2006,244620,263.0,4.7,8.0,12735
2009,299278,168.0,2.4,4.0,4641
2020,40407,523.0,4.4,8.0,60060
2009,223699,300.0,5.3,8.0,13195
2019,46277,385.0,3.0,6.0,55828
2023,10337,291.0,3.8,6.0,38675
2015,138404,540.0,4.4,8.0,26390
2018,93503,518.0,5.0,8.0,48684
2018,28968,454.0,4.7,8.0,60970
2003,183465,345.0,5.7,8.0,9737
2019,70570,290.0,3.3,6.0,27300
2021,143232,270.0,2.3,4.0,30940
2022,51258,389.0,3.0,6.0,55055
2017,91485,335.0,2.7,6.0,26390
2005,151439,255.0,3.6,6.0,5550
2019,170055,355.0,5.3,8.0,35490
2015,209215,429.0,4.7,8.0,22295
2010,116677,122.0,1.8,4.0,6142
2001,178637,200.0,3.8,6.0,10010
2009,60350,332.0,3.7,6.0,19565
2005,191512,250.0,3.5,6.0,3185
2022,49190,192.0,2.0,4.0,26390
2015,148737,440.0,6.7,8.0,47229
2018,68848,455.0,6.2,8.0,37401
2010,251058,265.0,3.5,6.0,5369
2006,273588,278.0,4.3,8.0,6825
2023,8690,375.0,3.5,6.0,54600
2011,302368,201.0,2.4,4.0,5005
2016,72908,348.0,3.8,6.0,19109
2016,131001,295.0,3.5,6.0,23660
2016,108629,285.0,3.6,6.0,25025
2019,131966,280.0,3.5,6.0,29549
2012,127138,402.0,4.6,8.0,18199
2019,42648,505.0,2.9,6.0,49049
2004,122572,325.0,6.0,8.0,18655
2020,48280,280.0,2.0,4.0,26299
2013,107826,261.0,4.0,6.0,14105
2022,17703,184.0,2.0,4.0,25389
2023,5472,275.0,2.3,4.0,51870
2010,182661,272.0,3.5,6.0,10010
2022,69202,228.0,2.0,4.0,32532
2021,109435,248.0,2.0,4.0,33214
2013,171717,332.0,3.7,6.0,15925
2017,113942,520.0,4.8,8.0,48229
2017,187167,301.0,4.6,8.0,29074
2009,120057,400.0,4.4,8.0,13650
2007,157272,350.0,6.7,6.0,18198
2013,101665,202.0,2.5,4.0,11825
2010,138598,268.0,3.5,6.0,12376
2019,33796,335.0,3.0,6.0,38220
2017,108602,188.0,2.0,4.0,10464
2016,160130,355.0,5.3,8.0,25475
2009,221446,172.0,1.6,4.0,6261
2001,102998,310.0,5.7,8.0,19110
2017,26876,131.0,2.0,4.0,24115
2018,27359,285.0,3.6,6.0,35035
2014,31704,189.0,2.0,4.0,12285
2010,109114,268.0,3.5,6.0,12739
2016,191512,281.0,3.6,6.0,11375
2016,109435,310.0,3.6,6.0,29984
2018,119705,248.0,2.0,4.0,20925
2023,9656,310.0,3.6,6.0,44135
2015,158335,166.0,2.4,4.0,9555
2011,119896,412.0,5.0,8.0,20020
2017,47830,311.0,3.8,6.0,26845
2014,299338,302.0,3.5,6.0,9100
2005,138404,282.0,4.7,8.0,20475
2017,31624,400.0,3.5,6.0,63018
2008,304971,162.0,2.4,4.0,5460
2014,114263,240.0,2.0,4.0,15197
2006,306831,273.0,4.7,8.0,8099
2018,110119,279.0,3.5,6.0,21385
2005,167372,355.0,3.8,6.0,40768
2007,6515,400.0,6.0,8.0,34580
2023,3541,325.0,2.0,4.0,68250
2018,98170,471.0,5.0,8.0,59150
2020,107942,375.0,3.5,6.0,35035
2016,113591,300.0,3.0,6.0,31850
2011,221257,188.0,1.6,4.0,2912
2013,191512,403.0,6.2,8.0,18655
2018,63247,320.0,3.0,6.0,28892
2014,67592,451.0,6.2,8.0,40950
2010,249448,273.0,3.7,6.0,7553
2019,79663,185.0,2.4,4.0,25480
2005,74352,325.0,3.6,6.0,45499
2016,65983,285.0,3.6,6.0,22750
2016,74352,340.0,3.0,6.0,37765
2017,37258,416.0,4.0,8.0,76895
2007,72420,172.0,1.6,4.0,7189
2013,104607,159.0,2.7,4.0,18655
2000,214864,120.0,2.2,4.0,4095
2013,89640,385.0,5.0,8.0,24752
2004,127943,180.0,1.8,4.0,10920
2022,24140,335.0,3.0,6.0,57330
2011,177028,400.0,4.4,8.0,10920
2013,208986,200.0,2.0,4.0,12276
2014,83686,275.0,2.7,6.0,33670
2019,82077,295.0,3.5,6.0,26390
